"Popolazione residente al 1° Gennaio 2020 per età sesso e stato civile"
"Regione","Età","Maschi celibi","Maschi coniugati","Maschi divorziati","Maschi vedovi","Maschi uniti civilmente","Maschi già in unione civile (per scioglimento)","Maschi già in unione civile (per decesso del partner)","Totale Maschi","Femmine nubili","Femmine coniugate","Femmine divorziate","Femmine vedove","Femmine unite civilmente","Femmine già in unione civile (per scioglimento)","Femmine già in unione civile (per decesso del partner)","Totale Femmine"
Piemonte,0,,,,,,,,14220,,,,,,,,13740
Piemonte,1,,,,,,,,14861,,,,,,,,14429
Piemonte,2,,,,,,,,15813,,,,,,,,15346
Piemonte,3,,,,,,,,16586,,,,,,,,15822
Piemonte,4,,,,,,,,17292,,,,,,,,15891
Piemonte,5,,,,,,,,17620,,,,,,,,16914
Piemonte,6,,,,,,,,18224,,,,,,,,17182
Piemonte,7,,,,,,,,18944,,,,,,,,17818
Piemonte,8,,,,,,,,19263,,,,,,,,17779
Piemonte,9,,,,,,,,19520,,,,,,,,18360
Piemonte,10,,,,,,,,20010,,,,,,,,18973
Piemonte,11,,,,,,,,20286,,,,,,,,18980
Piemonte,12,,,,,,,,20168,,,,,,,,19069
Piemonte,13,,,,,,,,19911,,,,,,,,18728
Piemonte,14,,,,,,,,19829,,,,,,,,18621
Piemonte,15,,,,,,,,19888,,,,,,,,18491
Piemonte,16,,,,,,,,19902,,,,,,,,18620
Piemonte,17,,,,,,,,19399,,,,,,,,18590
Piemonte,18,,,,,,,,19751,,,,,,,,18488
Piemonte,19,,,,,,,,20758,,,,,,,,19122
Piemonte,20,,,,,,,,20881,,,,,,,,18650
Piemonte,21,,,,,,,,21491,,,,,,,,18895
Piemonte,22,,,,,,,,21072,,,,,,,,19159
Piemonte,23,,,,,,,,20988,,,,,,,,18788
Piemonte,24,,,,,,,,20799,,,,,,,,18937
Piemonte,25,,,,,,,,20832,,,,,,,,19341
Piemonte,26,,,,,,,,21146,,,,,,,,19687
Piemonte,27,,,,,,,,21875,,,,,,,,20482
Piemonte,28,,,,,,,,21987,,,,,,,,20724
Piemonte,29,,,,,,,,22760,,,,,,,,21193
Piemonte,30,,,,,,,,22245,,,,,,,,21129
Piemonte,31,,,,,,,,22875,,,,,,,,21798
Piemonte,32,,,,,,,,22034,,,,,,,,21655
Piemonte,33,,,,,,,,22563,,,,,,,,21838
Piemonte,34,,,,,,,,22992,,,,,,,,22634
Piemonte,35,,,,,,,,22991,,,,,,,,22910
Piemonte,36,,,,,,,,23760,,,,,,,,23551
Piemonte,37,,,,,,,,24702,,,,,,,,24521
Piemonte,38,,,,,,,,24674,,,,,,,,24770
Piemonte,39,,,,,,,,25390,,,,,,,,25431
Piemonte,40,,,,,,,,26176,,,,,,,,25925
Piemonte,41,,,,,,,,27835,,,,,,,,27862
Piemonte,42,,,,,,,,29074,,,,,,,,29560
Piemonte,43,,,,,,,,30465,,,,,,,,30868
Piemonte,44,,,,,,,,32248,,,,,,,,32754
Piemonte,45,,,,,,,,33896,,,,,,,,33950
Piemonte,46,,,,,,,,33956,,,,,,,,33773
Piemonte,47,,,,,,,,34642,,,,,,,,34746
Piemonte,48,,,,,,,,34898,,,,,,,,35598
Piemonte,49,,,,,,,,34621,,,,,,,,35193
Piemonte,50,,,,,,,,35808,,,,,,,,36423
Piemonte,51,,,,,,,,35587,,,,,,,,36174
Piemonte,52,,,,,,,,35414,,,,,,,,36253
Piemonte,53,,,,,,,,35822,,,,,,,,36323
Piemonte,54,,,,,,,,35456,,,,,,,,36338
Piemonte,55,,,,,,,,35778,,,,,,,,37075
Piemonte,56,,,,,,,,33373,,,,,,,,34578
Piemonte,57,,,,,,,,31823,,,,,,,,33553
Piemonte,58,,,,,,,,31504,,,,,,,,33139
Piemonte,59,,,,,,,,30396,,,,,,,,32136
Piemonte,60,,,,,,,,29875,,,,,,,,31046
Piemonte,61,,,,,,,,28877,,,,,,,,30364
Piemonte,62,,,,,,,,28573,,,,,,,,30242
Piemonte,63,,,,,,,,27743,,,,,,,,29687
Piemonte,64,,,,,,,,27216,,,,,,,,29022
Piemonte,65,,,,,,,,26565,,,,,,,,28868
Piemonte,66,,,,,,,,25685,,,,,,,,27710
Piemonte,67,,,,,,,,25634,,,,,,,,27556
Piemonte,68,,,,,,,,24717,,,,,,,,27404
Piemonte,69,,,,,,,,25617,,,,,,,,28622
Piemonte,70,,,,,,,,25882,,,,,,,,28737
Piemonte,71,,,,,,,,26926,,,,,,,,30248
Piemonte,72,,,,,,,,26209,,,,,,,,29388
Piemonte,73,,,,,,,,25171,,,,,,,,28655
Piemonte,74,,,,,,,,18978,,,,,,,,21886
Piemonte,75,,,,,,,,19906,,,,,,,,23486
Piemonte,76,,,,,,,,19165,,,,,,,,23565
Piemonte,77,,,,,,,,19186,,,,,,,,23540
Piemonte,78,,,,,,,,18785,,,,,,,,23805
Piemonte,79,,,,,,,,20044,,,,,,,,25776
Piemonte,80,,,,,,,,19297,,,,,,,,25285
Piemonte,81,,,,,,,,18219,,,,,,,,24180
Piemonte,82,,,,,,,,15790,,,,,,,,21756
Piemonte,83,,,,,,,,13850,,,,,,,,19568
Piemonte,84,,,,,,,,12877,,,,,,,,19339
Piemonte,85,,,,,,,,11100,,,,,,,,17732
Piemonte,86,,,,,,,,9419,,,,,,,,16106
Piemonte,87,,,,,,,,8254,,,,,,,,15001
Piemonte,88,,,,,,,,7158,,,,,,,,13753
Piemonte,89,,,,,,,,6344,,,,,,,,12782
Piemonte,90,,,,,,,,4755,,,,,,,,10508
Piemonte,91,,,,,,,,3588,,,,,,,,8670
Piemonte,92,,,,,,,,2822,,,,,,,,7275
Piemonte,93,,,,,,,,1941,,,,,,,,5777
Piemonte,94,,,,,,,,1378,,,,,,,,4450
Piemonte,95,,,,,,,,967,,,,,,,,3334
Piemonte,96,,,,,,,,705,,,,,,,,2556
Piemonte,97,,,,,,,,438,,,,,,,,1975
Piemonte,98,,,,,,,,276,,,,,,,,1334
Piemonte,99,,,,,,,,166,,,,,,,,842
Piemonte,100,,,,,,,,142,,,,,,,,954
Piemonte,Totale,,,,,,,,2109314,,,,,,,,2232061
Valle d'Aosta/Vallée d'Aoste,0,,,,,,,,413,,,,,,,,417
